layer,epsilon,cc,tag,mode,K,N,seed_a,seed_b,comp_a,comp_b,cosine_components,score_corr,label_a,label_b,label_token_jaccard
13,1.0,disambig,noflip,rejected,10,200,0,1,1,5,0.06451447308063507,-0.0648363961589771,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,2,2,0.8210533857345581,0.0397231678820685,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,3,3,0.9444574117660522,-0.1278677151737057,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,4,6,0.46737992763519287,0.12300271571585758,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,5,4,0.7909523248672485,0.15362267835090732,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,6,9,0.022335706278681755,-0.008652857719943154,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,7,7,0.18662631511688232,-0.06063316001389515,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,8,1,0.10098439455032349,-0.08866529334874221,MANUAL,MANUAL,1.0
13,1.0,disambig,noflip,rejected,10,200,0,1,9,8,0.1632971167564392,0.015691419131216962,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,0,3,0.17591898143291473,0.030222903567948736,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,1,1,0.9282549619674683,0.008122891517523427,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,2,0,0.23090402781963348,-0.003936891434124923,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,3,4,0.3051779866218567,0.0321411000694456,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,4,5,0.8277936577796936,0.05927225635851339,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,5,6,0.1945532113313675,0.09899146398572684,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,6,2,-0.030057454481720924,0.03674698094878304,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,7,7,0.5673606991767883,0.03253993489587145,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,8,9,0.6122154593467712,0.07512098260305117,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,chosen,10,200,0,1,9,8,0.6115753650665283,0.08378662050178946,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,0,0,0.9638046622276306,0.06031657038475346,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,1,1,0.8486791253089905,0.17789373337951447,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,2,2,0.7431400418281555,0.19164980880520238,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,3,4,0.699367105960846,0.11170719320776072,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,4,6,-0.09550309181213379,-0.07701254462663502,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,5,3,0.6553874015808105,0.28308971706800706,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,6,8,0.09121402353048325,0.11081482851484321,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,7,7,0.6750162243843079,-0.035049439375154846,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,8,5,0.04966975003480911,-0.10876963713945205,MANUAL,MANUAL,1.0
13,2.0,ambig,flip,rejected,10,200,0,1,9,9,0.520350992679596,0.102375810071642,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,0,0,0.9882206916809082,-0.023500247611901358,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,1,1,0.9400779008865356,0.13058390910997345,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,2,3,0.5439848303794861,-0.0236298145659302,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,3,8,-0.014822298660874367,0.014081633296620157,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,4,4,0.8176357746124268,0.07546455146920401,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,5,5,0.8175169229507446,0.027314191918918217,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,6,2,0.07087849825620651,-0.03245036072181431,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,7,6,0.5695962905883789,0.05303758325549959,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,8,7,0.541283905506134,0.012704548799061795,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,chosen,10,200,0,1,9,9,0.29045945405960083,0.06260012004621111,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,0,0,0.9897670149803162,0.016006891360964347,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,1,3,0.23985616862773895,0.0037773551071844627,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,2,4,0.20674583315849304,0.12802632918962462,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,3,2,0.5760299563407898,0.060850446223558965,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,4,9,-0.012301119975745678,0.06576612982663269,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,5,5,0.30386826395988464,0.04654494519358661,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,6,8,0.5215010643005371,0.2113586225190697,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,7,7,0.33225351572036743,-0.07345361410526409,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,8,6,0.4028368592262268,0.029556406205801803,MANUAL,MANUAL,1.0
13,2.0,ambig,noflip,rejected,10,200,0,1,9,1,0.04661494120955467,0.02433344153121984,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,0,0,0.946031391620636,0.08377080406251755,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,1,1,0.9135788679122925,-0.005908973415344528,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,2,8,-0.17562387883663177,-0.12097933079834469,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,3,3,0.8540174961090088,0.2152646722584627,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,4,4,0.8603249192237854,0.3002568600853498,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,5,5,0.8762794733047485,0.18436501223188376,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,6,6,0.6581483483314514,0.12858368209356333,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,7,9,0.3654339909553528,0.09140001768480599,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,8,7,0.46153783798217773,-0.056812194912057586,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,chosen,10,200,0,1,9,2,0.04094040393829346,-0.17248639664822915,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,0,0,0.9591724276542664,0.12805692591899193,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,1,1,0.9601820111274719,-0.0009985373243605307,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,2,4,0.37109723687171936,0.06301275295070081,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,3,2,0.6715320944786072,0.1764907626520898,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,4,9,-0.0367107018828392,0.026427418138383785,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,5,5,0.3957997262477875,0.02708962435041791,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,6,3,0.2149498015642166,0.12371921841547698,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,7,8,0.12898187339305878,0.031268376845032815,MANUAL,MANUAL,1.0
13,2.0,disambig,flip,rejected,10,200,0,1,8,6,0.4546046257019043,0.04488211183691631,MANUAL,MANUAL,1.0
