seed,layer,epsilon,cc,tag,mode,K,N,component,label,label_is_parse_error,mean_abs_score,winner_freq,mean_share,evr
0,13,2.0,ambig,noflip,chosen,10,200,0,MANUAL,False,0.6511967182159424,0.5299999713897705,0.2540784776210785,0.3192489445209503
0,13,2.0,ambig,noflip,chosen,10,200,2,MANUAL,False,0.30511295795440674,0.1550000011920929,0.13151781260967255,0.07353990525007248
0,13,2.0,ambig,noflip,chosen,10,200,1,MANUAL,False,0.30343788862228394,0.14000000059604645,0.12215093523263931,0.08736934512853622
0,13,2.0,ambig,noflip,chosen,10,200,3,MANUAL,False,0.24834351241588593,0.09000000357627869,0.10510352998971939,0.052461229264736176
0,13,2.0,ambig,noflip,chosen,10,200,4,MANUAL,False,0.21588173508644104,0.02500000037252903,0.08728429675102234,0.040232498198747635
0,13,2.0,ambig,noflip,chosen,10,200,5,MANUAL,False,0.1925271600484848,0.02500000037252903,0.07661089301109314,0.031482040882110596
0,13,2.0,ambig,noflip,chosen,10,200,7,MANUAL,False,0.15508753061294556,0.004999999888241291,0.06321727484464645,0.020700611174106598
0,13,2.0,ambig,noflip,chosen,10,200,6,MANUAL,False,0.1458374708890915,0.014999999664723873,0.056291159242391586,0.023188162595033646
0,13,2.0,ambig,noflip,chosen,10,200,8,MANUAL,False,0.12836867570877075,0.004999999888241291,0.05066948011517525,0.01605209708213806
0,13,2.0,ambig,noflip,chosen,10,200,9,MANUAL,False,0.12775354087352753,0.009999999776482582,0.053076133131980896,0.014336367137730122
0,13,2.0,ambig,noflip,rejected,10,200,0,MANUAL,False,0.7089959979057312,0.7749999761581421,0.3053146302700043,0.3751813769340515
0,13,2.0,ambig,noflip,rejected,10,200,1,MANUAL,False,0.2724339962005615,0.08500000089406967,0.11621309071779251,0.06984764337539673
0,13,2.0,ambig,noflip,rejected,10,200,2,MANUAL,False,0.2307388335466385,0.06499999761581421,0.10459182411432266,0.04887143895030022
0,13,2.0,ambig,noflip,rejected,10,200,3,MANUAL,False,0.199916273355484,0.02500000037252903,0.08238689601421356,0.03848609700798988
0,13,2.0,ambig,noflip,rejected,10,200,5,MANUAL,False,0.17752885818481445,0.004999999888241291,0.0745953842997551,0.029381854459643364
0,13,2.0,ambig,noflip,rejected,10,200,4,MANUAL,False,0.1767691820859909,0.03500000014901161,0.07274018973112106,0.03387243300676346
0,13,2.0,ambig,noflip,rejected,10,200,6,MANUAL,False,0.1527971774339676,0.009999999776482582,0.06488052010536194,0.022604474797844887
0,13,2.0,ambig,noflip,rejected,10,200,8,MANUAL,False,0.14078769087791443,0.0,0.06521052867174149,0.016593679785728455
0,13,2.0,ambig,noflip,rejected,10,200,9,MANUAL,False,0.1324789673089981,0.0,0.05953214690089226,0.01530505996197462
0,13,2.0,ambig,noflip,rejected,10,200,7,MANUAL,False,0.13043813407421112,0.0,0.05453479662537575,0.01836160011589527
0,13,2.0,disambig,flip,chosen,10,200,0,MANUAL,False,0.3448770046234131,0.375,0.1983281373977661,0.1670418083667755
0,13,2.0,disambig,flip,chosen,10,200,1,MANUAL,False,0.24918043613433838,0.23499999940395355,0.1393578201532364,0.11601637303829193
0,13,2.0,disambig,flip,chosen,10,200,2,MANUAL,False,0.22047923505306244,0.11500000208616257,0.12401250749826431,0.07427038252353668
0,13,2.0,disambig,flip,chosen,10,200,3,MANUAL,False,0.17596496641635895,0.07000000029802322,0.10213354229927063,0.04725927487015724
0,13,2.0,disambig,flip,chosen,10,200,4,MANUAL,False,0.15708382427692413,0.10000000149011612,0.0910685658454895,0.04184607043862343
0,13,2.0,disambig,flip,chosen,10,200,5,MANUAL,False,0.142109677195549,0.03500000014901161,0.08142681419849396,0.0331796370446682
0,13,2.0,disambig,flip,chosen,10,200,6,MANUAL,False,0.1285688430070877,0.014999999664723873,0.07425668090581894,0.025607619434595108
0,13,2.0,disambig,flip,chosen,10,200,7,MANUAL,False,0.1157955527305603,0.03500000014901161,0.06564021110534668,0.024155881255865097
0,13,2.0,disambig,flip,chosen,10,200,8,MANUAL,False,0.11318465322256088,0.0,0.06487143784761429,0.020322950556874275
0,13,2.0,disambig,flip,chosen,10,200,9,MANUAL,False,0.10261594504117966,0.019999999552965164,0.058904293924570084,0.018339259549975395
0,13,2.0,disambig,flip,rejected,10,200,0,MANUAL,False,0.321513295173645,0.36000001430511475,0.1885683238506317,0.16294164955615997
0,13,2.0,disambig,flip,rejected,10,200,1,MANUAL,False,0.2524723708629608,0.20499999821186066,0.14725442230701447,0.1099042296409607
0,13,2.0,disambig,flip,rejected,10,200,2,MANUAL,False,0.1924329400062561,0.13500000536441803,0.11386087536811829,0.05942554026842117
0,13,2.0,disambig,flip,rejected,10,200,3,MANUAL,False,0.18945498764514923,0.0949999988079071,0.11272615194320679,0.05542023107409477
0,13,2.0,disambig,flip,rejected,10,200,4,MANUAL,False,0.1603527069091797,0.06499999761581421,0.09495963901281357,0.043028574436903
0,13,2.0,disambig,flip,rejected,10,200,6,MANUAL,False,0.1299019753932953,0.03500000014901161,0.07802166044712067,0.028123347088694572
0,13,2.0,disambig,flip,rejected,10,200,5,MANUAL,False,0.11759836226701736,0.029999999329447746,0.06823006272315979,0.03283964842557907
0,13,2.0,disambig,flip,rejected,10,200,7,MANUAL,False,0.11610791087150574,0.004999999888241291,0.0678233653306961,0.022366780787706375
0,13,2.0,disambig,flip,rejected,10,200,8,MANUAL,False,0.11297355592250824,0.029999999329447746,0.06790179014205933,0.021679751574993134
0,13,2.0,disambig,flip,rejected,10,200,9,MANUAL,False,0.10003559291362762,0.03999999910593033,0.060653697699308395,0.018408052623271942
0,13,2.0,disambig,noflip,chosen,10,200,0,MANUAL,False,0.8221403360366821,0.8050000071525574,0.3015301823616028,0.3000101149082184
0,13,2.0,disambig,noflip,chosen,10,200,1,MANUAL,False,0.3325482904911041,0.054999999701976776,0.11377191543579102,0.07511906325817108
