seed,layer,epsilon,cc,tag,mode,component,label,field,pearson_corr
0,13,1.0,ambig,flip,chosen,9,MANUAL,delta_mean_token_l2,-0.1204807660279952
0,13,1.0,ambig,flip,chosen,0,MANUAL,flipped,0.06626965828537182
0,13,1.0,ambig,flip,chosen,1,MANUAL,flipped,-0.3358916516987017
0,13,1.0,ambig,flip,chosen,2,MANUAL,flipped,0.11442741175164742
0,13,1.0,ambig,flip,chosen,3,MANUAL,flipped,-0.0710388385772913
0,13,1.0,ambig,flip,chosen,4,MANUAL,flipped,-0.35715024135864004
0,13,1.0,ambig,flip,chosen,5,MANUAL,flipped,0.2135752010112345
0,13,1.0,ambig,flip,chosen,6,MANUAL,flipped,-0.07092439291806188
0,13,1.0,ambig,flip,chosen,7,MANUAL,flipped,-0.2550570070567532
0,13,1.0,ambig,flip,chosen,8,MANUAL,flipped,0.05224146808299732
0,13,1.0,ambig,flip,chosen,9,MANUAL,flipped,-0.008581253837413155
0,13,1.0,ambig,flip,rejected,0,MANUAL,reward_delta,0.027637482598499116
0,13,1.0,ambig,flip,rejected,1,MANUAL,reward_delta,0.03373271944065099
0,13,1.0,ambig,flip,rejected,2,MANUAL,reward_delta,-0.2795560889692258
0,13,1.0,ambig,flip,rejected,3,MANUAL,reward_delta,-0.26832842096552345
0,13,1.0,ambig,flip,rejected,4,MANUAL,reward_delta,0.1942389104319883
0,13,1.0,ambig,flip,rejected,5,MANUAL,reward_delta,0.27651754506660375
0,13,1.0,ambig,flip,rejected,6,MANUAL,reward_delta,-0.009026988736098404
0,13,1.0,ambig,flip,rejected,7,MANUAL,reward_delta,0.012438237397756924
0,13,1.0,ambig,flip,rejected,8,MANUAL,reward_delta,-0.17568688568663385
0,13,1.0,ambig,flip,rejected,9,MANUAL,reward_delta,0.0827413053399748
0,13,1.0,ambig,flip,rejected,0,MANUAL,clean_margin,-0.4637414782876466
0,13,1.0,ambig,flip,rejected,1,MANUAL,clean_margin,0.18231393183956013
0,13,1.0,ambig,flip,rejected,2,MANUAL,clean_margin,-0.3592490008324934
0,13,1.0,ambig,flip,rejected,3,MANUAL,clean_margin,-0.028394599390686732
0,13,1.0,ambig,flip,rejected,4,MANUAL,clean_margin,-0.12862488488108145
0,13,1.0,ambig,flip,rejected,5,MANUAL,clean_margin,0.4055131001393273
0,13,1.0,ambig,flip,rejected,6,MANUAL,clean_margin,-0.01652655027093922
0,13,1.0,ambig,flip,rejected,7,MANUAL,clean_margin,0.07047383439436425
0,13,1.0,ambig,flip,rejected,8,MANUAL,clean_margin,-0.054864689949977216
0,13,1.0,ambig,flip,rejected,9,MANUAL,clean_margin,-0.17391503267880776
0,13,1.0,ambig,flip,rejected,0,MANUAL,adv_margin,-0.5907715195039215
0,13,1.0,ambig,flip,rejected,1,MANUAL,adv_margin,0.20654182350202277
0,13,1.0,ambig,flip,rejected,2,MANUAL,adv_margin,-0.27663803804658993
0,13,1.0,ambig,flip,rejected,3,MANUAL,adv_margin,0.06406885706296236
0,13,1.0,ambig,flip,rejected,4,MANUAL,adv_margin,-0.19358677224323984
0,13,1.0,ambig,flip,rejected,5,MANUAL,adv_margin,0.2991619500194904
0,13,1.0,ambig,flip,rejected,6,MANUAL,adv_margin,0.010708278154755606
0,13,1.0,ambig,flip,rejected,7,MANUAL,adv_margin,0.12368888394956734
0,13,1.0,ambig,flip,rejected,8,MANUAL,adv_margin,-0.053093212104125216
0,13,1.0,ambig,flip,rejected,9,MANUAL,adv_margin,-0.18387821460286277
0,13,1.0,ambig,flip,rejected,0,MANUAL,margin_delta,-0.25188759646240233
0,13,1.0,ambig,flip,rejected,1,MANUAL,margin_delta,0.03583175607362539
0,13,1.0,ambig,flip,rejected,2,MANUAL,margin_delta,0.2497667879270997
0,13,1.0,ambig,flip,rejected,3,MANUAL,margin_delta,0.23094595032362927
0,13,1.0,ambig,flip,rejected,4,MANUAL,margin_delta,-0.14292953655412585
0,13,1.0,ambig,flip,rejected,5,MANUAL,margin_delta,-0.3141321510082224
0,13,1.0,ambig,flip,rejected,6,MANUAL,margin_delta,0.0690862260712571
0,13,1.0,ambig,flip,rejected,7,MANUAL,margin_delta,0.12162267892925359
0,13,1.0,ambig,flip,rejected,8,MANUAL,margin_delta,0.011490377709031212
0,13,1.0,ambig,flip,rejected,9,MANUAL,margin_delta,-0.0018650798734891466
0,13,1.0,ambig,flip,rejected,0,MANUAL,chosen_len_tokens,0.13598156500767544
0,13,1.0,ambig,flip,rejected,1,MANUAL,chosen_len_tokens,-0.20509503871717605
0,13,1.0,ambig,flip,rejected,2,MANUAL,chosen_len_tokens,-0.12092097155568207
0,13,1.0,ambig,flip,rejected,3,MANUAL,chosen_len_tokens,0.013719168127661913
0,13,1.0,ambig,flip,rejected,4,MANUAL,chosen_len_tokens,0.032551520141676775
0,13,1.0,ambig,flip,rejected,5,MANUAL,chosen_len_tokens,0.10632550439569186
0,13,1.0,ambig,flip,rejected,6,MANUAL,chosen_len_tokens,0.10865351732351965
0,13,1.0,ambig,flip,rejected,7,MANUAL,chosen_len_tokens,0.2605305707272036
0,13,1.0,ambig,flip,rejected,8,MANUAL,chosen_len_tokens,-0.08906639102484099
0,13,1.0,ambig,flip,rejected,9,MANUAL,chosen_len_tokens,0.005115785900344988
0,13,1.0,ambig,flip,rejected,0,MANUAL,rejected_len_tokens,0.19397567345946162
0,13,1.0,ambig,flip,rejected,1,MANUAL,rejected_len_tokens,-0.2850102353797828
0,13,1.0,ambig,flip,rejected,2,MANUAL,rejected_len_tokens,-0.19005601656197954
0,13,1.0,ambig,flip,rejected,3,MANUAL,rejected_len_tokens,0.011828199248074383
0,13,1.0,ambig,flip,rejected,4,MANUAL,rejected_len_tokens,0.07095348673186137
0,13,1.0,ambig,flip,rejected,5,MANUAL,rejected_len_tokens,0.1665762207176857
0,13,1.0,ambig,flip,rejected,6,MANUAL,rejected_len_tokens,0.10220323737192637
0,13,1.0,ambig,flip,rejected,7,MANUAL,rejected_len_tokens,0.2617974328479193
0,13,1.0,ambig,flip,rejected,8,MANUAL,rejected_len_tokens,-0.09324072007010849
0,13,1.0,ambig,flip,rejected,9,MANUAL,rejected_len_tokens,-0.010773057454163971
0,13,1.0,ambig,flip,rejected,0,MANUAL,delta_global_l2,0.5649527066101531
0,13,1.0,ambig,flip,rejected,1,MANUAL,delta_global_l2,-0.25820523314929383
0,13,1.0,ambig,flip,rejected,2,MANUAL,delta_global_l2,-0.1484508513501102
0,13,1.0,ambig,flip,rejected,3,MANUAL,delta_global_l2,-0.061238051722021715
0,13,1.0,ambig,flip,rejected,4,MANUAL,delta_global_l2,-0.020263147032500612
0,13,1.0,ambig,flip,rejected,5,MANUAL,delta_global_l2,0.35996511586102203
0,13,1.0,ambig,flip,rejected,6,MANUAL,delta_global_l2,0.07321954288916006
0,13,1.0,ambig,flip,rejected,7,MANUAL,delta_global_l2,0.18959334815468384
0,13,1.0,ambig,flip,rejected,8,MANUAL,delta_global_l2,-0.18284569309449242
0,13,1.0,ambig,flip,rejected,9,MANUAL,delta_global_l2,-0.07764525972256271
0,13,1.0,ambig,flip,rejected,0,MANUAL,delta_max_token_l2,0.08975593140701091
0,13,1.0,ambig,flip,rejected,1,MANUAL,delta_max_token_l2,-0.0009986463669568691
0,13,1.0,ambig,flip,rejected,2,MANUAL,delta_max_token_l2,-0.06119952678141992
0,13,1.0,ambig,flip,rejected,3,MANUAL,delta_max_token_l2,-0.004668125962336164
