direction_id,direction_source_dataset,direction_component,direction_label,direction_is_global_baseline,target_dataset,alpha,n_examples,n_base,flip_rate,flip_rate_ci_lo,flip_rate_ci_hi,mean_delta_margin,mean_delta_margin_ci_lo,mean_delta_margin_ci_hi,mean_clean_margin,mean_adv_margin
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,math_mc,0.3,100,75,0.0,0.0,0.0,-0.05876773834228516,-0.08212602329254151,-0.034937913894653325,2.0797071838378907,2.0209394454956056
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,mmlu,0.3,100,72,0.013888888888888888,0.0,0.041666666666666664,-0.025085105895996093,-0.044294660568237304,-0.006566802024841321,0.9611672592163086,0.9360821533203125
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,sgxs,0.3,100,50,0.04,0.0,0.1,0.00859375,-0.00687890625,0.02265625,0.0525,0.06109375
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,bbq,0.5,100,38,0.02631578947368421,0.0,0.07894736842105263,-0.0092864990234375,-0.028212791442871095,0.008236099243164062,-0.5638653564453125,-0.57315185546875
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,gsm_mc,0.5,100,67,0.0,0.0,0.0,-0.06875335693359375,-0.09747212982177735,-0.04015963745117188,1.21274169921875,1.1439883422851562
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,math_mc,0.5,100,75,0.0,0.0,0.0,-0.10628528594970703,-0.14433674335479735,-0.06930145263671875,2.0797071838378907,1.9734218978881837
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,mmlu,0.5,100,72,0.013888888888888888,0.0,0.041666666666666664,-0.04705837249755859,-0.07450972557067871,-0.021768884658813475,0.9611672592163086,0.91410888671875
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,sgxs,0.5,100,50,0.02,0.0,0.06,0.00140625,-0.01578125,0.01796875,0.0525,0.05390625
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,bbq,1.0,100,38,0.05263157894736842,0.0,0.13157894736842105,-0.01359954833984375,-0.04518330383300781,0.0180015869140625,-0.5638653564453125,-0.5774649047851562
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,gsm_mc,1.0,100,67,0.029850746268656716,0.0,0.07462686567164178,-0.123778076171875,-0.17646051025390624,-0.07064242553710938,1.21274169921875,1.088963623046875
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,math_mc,1.0,100,75,0.013333333333333334,0.0,0.04,-0.21140151977539062,-0.2827455253601074,-0.1387606544494629,2.0797071838378907,1.8683056640625
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,mmlu,1.0,100,72,0.027777777777777776,0.0,0.06944444444444445,-0.1050820541381836,-0.15112550354003906,-0.058451605796813966,0.9611672592163086,0.856085205078125
math_mc:c0,math_mc,0,Mathematical Problem Solving Quality,False,sgxs,1.0,100,50,0.04,0.0,0.1,0.00265625,-0.02407421875,0.028125,0.0525,0.05515625
mmlu:c0,mmlu,0,Moral Judgment Direction,False,bbq,0.1,100,38,0.02631578947368421,0.0,0.07894736842105263,0.00013702392578125,-0.014317237854003906,0.012508399963378904,-0.5638653564453125,-0.5637283325195312
mmlu:c0,mmlu,0,Moral Judgment Direction,False,gsm_mc,0.1,100,67,0.014925373134328358,0.0,0.04477611940298507,0.00600128173828125,-0.008582298278808595,0.020608169555664062,1.21274169921875,1.2187429809570312
mmlu:c0,mmlu,0,Moral Judgment Direction,False,math_mc,0.1,100,75,0.0,0.0,0.0,0.030764617919921876,0.017188888549804687,0.04492879104614257,2.0797071838378907,2.1104718017578126
mmlu:c0,mmlu,0,Moral Judgment Direction,False,mmlu,0.1,100,72,0.0,0.0,0.0,0.019072914123535158,0.005410775184631348,0.03233072471618652,0.9611672592163086,0.9802401733398437
mmlu:c0,mmlu,0,Moral Judgment Direction,False,sgxs,0.1,100,50,0.02,0.0,0.06,0.0090625,-0.0034375,0.021875,0.0525,0.0615625
mmlu:c0,mmlu,0,Moral Judgment Direction,False,bbq,0.3,100,38,0.0,0.0,0.0,-0.0241876220703125,-0.045373680114746094,-0.00304096221923829,-0.5638653564453125,-0.588052978515625
