direction_id,alpha,direction_source_dataset,direction_label,direction_is_global_baseline,flip_rate_source,flip_rate_others_mean,flip_rate_gap_source_minus_others,flip_rate_gap_boot,flip_rate_gap_ci_lo,flip_rate_gap_ci_hi,n_base_source,n_base_others,mean_delta_margin_source,mean_delta_margin_others_mean,delta_margin_gap_source_minus_others,delta_margin_gap_boot,delta_margin_gap_ci_lo,delta_margin_gap_ci_hi,n_source,n_others
math_mc:c0,0.5,math_mc,Mathematical Problem Solving Quality,False,0.0,0.015051169590643274,-0.015051169590643274,-0.013215859030837005,-0.030837004405286344,0.0,75,227,-0.10628528594970703,-0.03092299461364746,-0.07536229133605957,-0.07536229133605957,-0.11496584033966065,-0.03992450070381165,100,400
math_mc:c0,1.0,math_mc,Mathematical Problem Solving Quality,False,0.013333333333333334,0.03756502574845073,-0.02423169241511739,-0.021908957415565346,-0.05726872246696035,0.01368575624082232,75,227,-0.21140151977539062,-0.05995085716247559,-0.15145066261291504,-0.15145066261291504,-0.22321739530563353,-0.08614983510971069,100,400
mmlu:c0,0.1,mmlu,Moral Judgment Direction,False,0.0,0.015310290652003143,-0.015310290652003143,-0.013043478260869565,-0.030434782608695653,0.0,72,230,0.019072914123535158,0.011491355895996095,0.007581558227539063,0.007581558227539064,-0.007410882949829101,0.021854077339172356,100,400
mmlu:c0,0.3,mmlu,Moral Judgment Direction,False,0.0,0.01873134328358209,-0.01873134328358209,-0.017391304347826087,-0.034782608695652174,-0.004347826086956522,72,230,0.04916355133056641,0.02049381256103516,0.028669738769531248,0.02866973876953125,0.005307384490966797,0.051853693962097165,100,400
mmlu:c0,0.5,mmlu,Moral Judgment Direction,False,0.0,0.02031029065200314,-0.02031029065200314,-0.017391304347826087,-0.034782608695652174,-0.004347826086956522,72,230,0.08062595367431641,0.028471326828002932,0.05215462684631347,0.05215462684631348,0.015093330383300777,0.0865128674507141,100,400
mmlu:c0,1.0,mmlu,Moral Judgment Direction,False,0.0,0.02157894736842105,-0.02157894736842105,-0.017391304347826087,-0.034782608695652174,-0.004347826086956522,72,230,0.1591305923461914,0.06091716766357422,0.09821342468261718,0.09821342468261718,0.025035642623901365,0.1709397392272949,100,400
sgxs:c0,0.1,sgxs,Safety vs. Harmful Queries,False,0.06,0.010310290652003142,0.04968970934799685,0.05206349206349206,-0.007781746031746029,0.1280952380952381,50,252,-0.00234375,0.002453432083129883,-0.004797182083129883,-0.004797182083129883,-0.01850820255279541,0.008836892127990714,100,400
sgxs:c0,0.3,sgxs,Safety vs. Harmful Queries,False,0.02,0.007203565505804312,0.012796434494195688,0.012063492063492064,-0.015873015873015872,0.06,50,252,0.00921875,0.006059770584106445,0.003158979415893554,0.003158979415893554,-0.014343740224838255,0.019532710552215574,100,400
sgxs:c0,0.5,sgxs,Safety vs. Harmful Queries,False,0.06,0.016889238020424194,0.04311076197957581,0.048095238095238094,-0.011904761904761904,0.12412698412698414,50,252,0.0203125,0.0020527362823486326,0.018259763717651367,0.018259763717651367,-0.0043456580638885495,0.040340383529663085,100,400
sgxs:c0,1.0,sgxs,Safety vs. Harmful Queries,False,0.06,0.023468185388845247,0.03653181461115475,0.044126984126984126,-0.012003968253968248,0.11603174603174603,50,252,0.0315625,0.007772493362426758,0.023790006637573243,0.023790006637573243,-0.012669151306152345,0.059458168983459465,100,400
