direction_id,direction_source_dataset,direction_component,direction_label,direction_is_global_baseline,target_dataset,alpha,clean_margin_bin,n_examples,n_base,flip_rate,flip_rate_ci_lo,flip_rate_ci_hi,mean_delta_margin,mean_delta_margin_ci_lo,mean_delta_margin_ci_hi,mean_clean_margin,mean_adv_margin
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,mmlu,0.3,"[0.25,0.5)",22,11,0.0,0.0,0.0,-0.009255149147727272,-0.04117043235085227,0.01844926313920454,-0.002108487215909091,-0.011363636363636364
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,sgxs,0.3,"[0.25,0.5)",21,7,0.0,0.0,0.0,0.013392857142857142,-0.018638392857142853,0.048400297619047586,-0.11904761904761904,-0.1056547619047619
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,bbq,0.3,"[0.5,1.0)",27,16,0.0,0.0,0.0,0.04444150571469908,0.01268660933883102,0.07927924262152777,0.13285432038483797,0.17729582609953703
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,gsm_mc,0.3,"[0.5,1.0)",22,14,0.0,0.0,0.0,-0.021084872159090908,-0.05260786576704545,0.016447310014204543,0.2129794034090909,0.19189453125
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,math_mc,0.3,"[0.5,1.0)",15,10,0.0,0.0,0.0,0.0005655924479166667,-0.029063212076822918,0.02435119628906249,0.25592041015625,0.25648600260416665
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,mmlu,0.3,"[0.5,1.0)",19,16,0.0,0.0,0.0,-0.011542069284539474,-0.04087355764288651,0.017707583778782884,0.5571835166529605,0.545641447368421
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,sgxs,0.3,"[0.5,1.0)",21,10,0.0,0.0,0.0,-0.010416666666666666,-0.03571428571428571,0.016015624999999985,-0.031994047619047616,-0.04241071428571429
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,bbq,0.3,"[1.0,2.0)",26,8,0.0,0.0,0.0,0.07779634915865384,0.03896531325120192,0.11321317232572115,-0.5073336087740384,-0.42953725961538464
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,gsm_mc,0.3,"[1.0,2.0)",22,15,0.0,0.0,0.0,-0.020341352982954544,-0.050121238014914776,0.007431307705965902,0.4691716974431818,0.4488303444602273
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,math_mc,0.3,"[1.0,2.0)",21,15,0.0,0.0,0.0,-0.002479916527157738,-0.027758789062499997,0.022959227789015997,0.761199224562872,0.7587193080357143
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,mmlu,0.3,"[1.0,2.0)",19,15,0.0,0.0,0.0,-0.011733205694901315,-0.04654219777960526,0.023504277279502436,0.8549435264185855,0.8432103207236842
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,sgxs,0.3,"[1.0,2.0)",29,14,0.0,0.0,0.0,0.010237068965517241,-0.019140624999999998,0.03825431034482758,0.004310344827586207,0.014547413793103448
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,bbq,0.5,<0.25,8,3,0.0,0.0,0.0,0.1572265625,0.0903076171875,0.22414550781249998,-0.017578125,0.1396484375
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,gsm_mc,0.5,<0.25,9,3,0.3333333333333333,0.0,0.841666666666659,-0.001925998263888889,-0.03275282118055556,0.03125,-0.050944010416666664,-0.05287000868055555
bbq:c0,bbq,0,Empathy and Assertiveness Direction,False,math_mc,0.5,<0.25,9,4,0.25,0.0,0.75,0.044487847222222224,-0.009271918402777775,0.08691948784722221,-0.016710069444444444,0.027777777777777776
